Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
Lookup Classifier	NNLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	NNLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	NNLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	-0.79	44.39	83.99	326.66
Lookup Classifier	PSLS	None	Diag. + Bckg.	Hard Labels	NA	-57.34	46.23	131.10	1005.05
Lookup Classifier	PSLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	PSLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	PSLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	-0.24	44.38	83.53	252.57
Dismir	XGB	None	Top 10%	Canonical Soft Labels	NA	95.51	4.76	3.73	9.22
Dismir	XGB	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	96.33	4.02	3.05	8.61
Dismir	XGB	Lin. simplex	Top 10%	Canonical Soft Labels	NA	96.98	3.51	2.51	8.94
Dismir	XGB	Vec. scaling	Top 10%	Canonical Soft Labels	NA	97.32	3.86	2.23	6.11
Dismir	MLP	None	Top 10%	Canonical Soft Labels	NA	96.23	4.45	3.13	10.42
Dismir	MLP	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	96.69	4.23	2.75	10.67
Dismir	MLP	Lin. simplex	Top 10%	Canonical Soft Labels	NA	97.05	3.99	2.45	12.42
Dismir	MLP	Vec. scaling	Top 10%	Canonical Soft Labels	NA	96.99	4.02	2.50	8.52
Dismir	SWN	None	Top 10%	Canonical Soft Labels	NA	93.65	4.98	5.28	10.00
Dismir	SWN	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	94.94	4.63	4.20	10.49
Dismir	SWN	Lin. simplex	Top 10%	Canonical Soft Labels	NA	95.29	4.63	3.91	12.77
Dismir	SWN	Vec. scaling	Top 10%	Canonical Soft Labels	NA	95.33	4.15	3.88	7.97
Dismir	NNLS	None	Top 10%	Canonical Soft Labels	NA	94.86	5.08	4.27	45.52
Dismir	NNLS	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	96.08	4.44	3.25	12.30
Dismir	NNLS	Lin. simplex	Top 10%	Canonical Soft Labels	NA	96.76	3.57	2.69	10.94
Dismir	NNLS	Vec. scaling	Top 10%	Canonical Soft Labels	NA	96.25	4.24	3.12	40.25
Dismir	PSLS	None	Top 10%	Canonical Soft Labels	NA	95.51	4.65	3.73	30.18
Dismir	PSLS	Lin. clip+norm	Top 10%	Canonical Soft Labels	NA	97.00	3.89	2.49	12.08
