	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
223	cancerdetector		uniform_prior	top156	mlp	uncalibrated	cancerdetector / uniform_prior / top156 / mlp / uncalibrated	cancerdetector||uniform_prior|top156|mlp|uncalibrated	0.9757281567572678	0.6515685811640629	0.6489023081129672	207.0	202.0	204.5	207.0	231.0	207.0	188.0	112.0	183.0	207.0	195.0
227	dismir	canonical_soft_labels		diagbckg	psls	uncalibrated	dismir / canonical_soft_labels / diagbckg / psls / uncalibrated	dismir|canonical_soft_labels||diagbckg|psls|uncalibrated	0.9647175278403984	0.6728243890480486	0.659283846153846	282.0	129.0	205.5	282.0	294.0	282.0	214.0	324.0	349.0	282.0	329.0
228	methylbert	canonical_soft_labels		diagbckg	psls	uncalibrated	methylbert / canonical_soft_labels / diagbckg / psls / uncalibrated	methylbert|canonical_soft_labels||diagbckg|psls|uncalibrated	0.9810269133658952	0.5037049549876972	0.4894215384615384	108.0	303.0	205.5	108.0	95.0	108.0	146.0	200.0	40.0	108.0	76.0
225	methylbert	canonical_soft_labels		diagbckg	swn	uncalibrated	methylbert / canonical_soft_labels / diagbckg / swn / uncalibrated	methylbert|canonical_soft_labels||diagbckg|swn|uncalibrated	0.9796914407732816	0.5810707817071048	0.568366923475948	139.0	272.0	205.5	139.0	151.0	139.0	126.0	84.0	94.0	139.0	142.0
226	methylbert	hard_labels		diagbckg	nnls	vector_scaling	methylbert / hard_labels / diagbckg / nnls / vector_scaling	methylbert|hard_labels||diagbckg|nnls|vector_scaling	0.9813510293338744	0.4742650457173906	0.4518261538461539	101.0	310.0	205.5	101.0	182.0	101.0	194.0	171.0	75.5	101.0	28.0
230	dismir	canonical_soft_labels		diagbckg	psls	vector_scaling	dismir / canonical_soft_labels / diagbckg / psls / vector_scaling	dismir|canonical_soft_labels||diagbckg|psls|vector_scaling	0.9679460449751122	0.6680234412718142	0.6534976923076923	259.0	153.0	206.0	259.0	291.0	259.0	282.0	298.0	310.0	259.0	308.0
229	dismir	soft_labels_with_pooling		top156	mlp	linear_clip_normalize	dismir / soft_labels_with_pooling / top156 / mlp / linear_clip_normalize	dismir|soft_labels_with_pooling||top156|mlp|linear_clip_normalize	0.9784655078595684	0.6072577966806741	0.5963988461612013	160.0	252.0	206.0	160.0	180.0	160.0	133.0	175.0	65.0	160.0	242.0
231	dismir	canonical_soft_labels		top156	psls	linear_clip_normalize	dismir / canonical_soft_labels / top156 / psls / linear_clip_normalize	dismir|canonical_soft_labels||top156|psls|linear_clip_normalize	0.9675409366406093	0.6685171353949805	0.6548884615384616	260.0	152.0	206.0	260.0	278.0	260.0	231.0	287.0	357.0	260.0	333.0
232	methylbert	hard_labels		top156	psls	vector_scaling	methylbert / hard_labels / top156 / psls / vector_scaling	methylbert|hard_labels||top156|psls|vector_scaling	0.9799780354727758	0.5442048442858367	0.5279765384615385	129.0	285.0	207.0	129.0	198.0	129.0	221.0	163.0	75.5	129.0	98.0
233	dismir	hard_labels		diagbckg	mlp	uncalibrated	dismir / hard_labels / diagbckg / mlp / uncalibrated	dismir|hard_labels||diagbckg|mlp|uncalibrated	0.9660160615029778	0.6694041758302617	0.6600715384692403	273.0	143.0	208.0	273.0	292.0	273.0	255.0	181.0	235.0	273.0	297.0
