JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59160649_3|59160653|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:17:11|2026-04-28T09:17:12|2026-04-28T12:48:14|03:31:02|12662|10:00:00|1|r22g39|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:33:44|88634|0:0
59160649_3.batch|59160653.batch|batch||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:48:14|03:31:02|12662||1|r22g39|7||10889.89M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:33:44|88634|0:0
59160649_3.extern|59160653.extern|extern||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:48:14|03:31:02|12662||1|r22g39|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|88634|0:0
59160677_0|59160678|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:29:00|2026-04-28T09:29:01|2026-04-28T12:49:18|03:20:17|12017|10:00:00|1|r22g41|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:15:47|84119|0:0
59160677_0.batch|59160678.batch|batch||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:49:18|03:20:17|12017||1|r22g41|7||6857.61M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:15:47|84119|0:0
59160677_0.extern|59160678.extern|extern||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:49:18|03:20:17|12017||1|r22g41|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|84119|0:0
59160677_5|59160683|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:29:00|2026-04-28T09:29:01|2026-04-28T12:51:09|03:22:08|12128|10:00:00|1|r24g37|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:07:20|84896|0:0
59160677_5.batch|59160683.batch|batch||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:51:09|03:22:08|12128||1|r24g37|7||10550.95M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:07:20|84896|0:0
59160677_5.extern|59160683.extern|extern||lccbe||COMPLETED|2026-04-28T09:29:01|2026-04-28T09:29:01|2026-04-28T12:51:09|03:22:08|12128||1|r24g37|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|84896|0:0
59160677_6|59160684|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:29:00|2026-04-28T09:29:01|2026-04-28T12:55:21|03:26:20|12380|10:00:00|1|r24g37|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:12:30|86660|0:0
